PeakID (cmd=C57_H.p_peaks.bed mm9)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_7246	chr2	32217838	32219752	+	3100.00	NA	promoter-TSS (NM_028412)	promoter-TSS (NM_028412)	77	NM_028412	68379	Mm.170508	NM_001252534	ENSMUSG00000039205	Ciz1	0610038H21Rik|2900056O04Rik|LSFR1|ZNF356	CDKN1A interacting zinc finger protein 1	protein-coding
MACS_peak_5595	chr17	24855812	24858745	+	3100.00	NA	promoter-TSS (NR_028515)	promoter-TSS (NR_028515)	270	NM_008503	16898	Mm.440520	NM_008503	ENSMUSG00000044533	Rps2	Llrep3|S4	ribosomal protein S2	protein-coding
MACS_peak_3163	chr12	105988974	105991318	+	3100.00	NA	promoter-TSS (NM_148948)	promoter-TSS (NM_148948)	16	NM_148948	192119	Mm.21135	NM_148948	ENSMUSG00000041415	Dicer1	1110006F08Rik|D12Ertd7e|mKIAA0928	dicer 1, ribonuclease type III	protein-coding
MACS_peak_4082	chr14	51549458	51551620	+	3100.00	NA	promoter-TSS (NM_001033271)	promoter-TSS (NM_001033271)	-15	NM_001033271	219024	Mm.239117	NM_001033271	ENSMUSG00000035953	Tmem55b	BC039161	transmembrane protein 55b	protein-coding
MACS_peak_7414	chr2	69734822	69737246	+	3100.00	NA	intron (NM_177783, intron 1 of 38)	intron (NM_177783, intron 1 of 38)	731	NM_001081548	68795	Mm.314576	NM_001081548	ENSMUSG00000044308	Ubr3	1110059H15Rik|4833421P10Rik|A130030D10Rik|AA409735|AA414972|AA422631|AI646861|AU016126|Zfp650|Znf650	ubiquitin protein ligase E3 component n-recognin 3	protein-coding
MACS_peak_3763	chr13	96094226	96097491	+	3100.00	NA	intron (NM_028106, intron 1 of 1)	intron (NM_028106, intron 1 of 1)	666	NM_028106	72114	Mm.3774	NM_028106	ENSMUSG00000041995	Zbed3	0610037K01Rik|2610005H11Rik|AU018975|AU024588	zinc finger, BED domain containing 3	protein-coding
MACS_peak_12403	chr7	137788897	137791914	+	3100.00	NA	intron (NM_001004468, intron 3 of 21)	intron (NM_001004468, intron 3 of 21)	-45665	NM_021314	57752	Mm.86322	NM_001004468	ENSMUSG00000030852	Tacc2	mKIAA4180	transforming, acidic coiled-coil containing protein 2	protein-coding
MACS_peak_1411	chr10	98723328	98729563	+	3100.00	NA	exon (NM_026268, exon 1 of 3)	exon (NM_026268, exon 1 of 3)	580	NM_026268	67603	Mm.1791	NM_026268	ENSMUSG00000019960	Dusp6	1300019I03Rik|MKP-3|MKP3|PYST1	dual specificity phosphatase 6	protein-coding
MACS_peak_12482	chr7	149086999	149089094	+	3100.00	NA	intron (NM_023764, intron 1 of 5)	CpG	265	NM_023764	54473	Mm.103551	NM_023764	ENSMUSG00000025139	Tollip	4930403G24Rik|4931428G15Rik	toll interacting protein	protein-coding
MACS_peak_4557	chr15	57524536	57528308	+	3100.00	NA	5' UTR (NM_199449, exon 1 of 4)	5' UTR (NM_199449, exon 1 of 4)	200	NM_199449	387609	Mm.36557	NM_199449	ENSMUSG00000071757	Zhx2	Afr-1|Afr1|Raf|mKIAA0854	zinc fingers and homeoboxes 2	protein-coding
MACS_peak_11960	chr7	63096855	63099234	+	3100.00	NA	intron (NM_011370, intron 1 of 30)	CpG	603	NM_001164661	20430	Mm.333893	NM_001164661	ENSMUSG00000030447	Cyfip1	E030028J09Rik|P140SRA-1|P140sra1|Shyc|Sra-1|Sra1|l(7)1Rl|l71Rl|l7Rl1|mKIAA0068|pl-1	cytoplasmic FMR1 interacting protein 1	protein-coding
MACS_peak_3232	chr12	114065647	114068843	+	3100.00	NA	5' UTR (NM_028023, exon 1 of 2)	5' UTR (NM_028023, exon 1 of 2)	355	NM_028023	71963	Mm.313185	NM_028023	ENSMUSG00000047832	Cdca4	2410018C03Rik|HEPP|SEI-3	cell division cycle associated 4	protein-coding
MACS_peak_1255	chr10	79868068	79870287	+	3100.00	NA	intron (NM_025650, intron 1 of 2)	intron (NM_025650, intron 1 of 2)	389	NM_025650	66594	Mm.379119	NM_025650	ENSMUSG00000020163	Uqcr11	0710008D09Rik|AL022707|Uqcr	ubiquinol-cytochrome c reductase, complex III subunit XI	protein-coding
MACS_peak_7032	chr2	6049229	6051657	+	3100.00	NA	intron (NM_144883, intron 1 of 3)	intron (NM_144883, intron 1 of 3)	788	NM_144883	227545	Mm.133542	NM_001159657	ENSMUSG00000045319	5430407P10Rik	AU067770	RIKEN cDNA 5430407P10 gene	protein-coding
MACS_peak_13446	chr9	41387616	41392315	+	3100.00	NA	promoter-TSS (NR_029822)	promoter-TSS (NR_029822)	-44	NR_029822	387236		NR_029822		Mir125b-1	Mirn125b|Mirn125b-1	microRNA 125b-1	miscRNA
MACS_peak_9655	chr4	136156917	136159132	+	3100.00	NA	intron (NM_133872, intron 1 of 18)	CpG	614	NM_133872	99982	Mm.28540	NM_133872	ENSMUSG00000036940	Kdm1a	1810043O07Rik|AA408884|Aof2|D4Ertd478e|Kdm1|Lsd1|mKIAA0601	lysine (K)-specific demethylase 1A	protein-coding
MACS_peak_1756	chr11	35582632	35584579	+	3100.00	NA	intron (NM_145962, intron 1 of 6)	intron (NM_145962, intron 1 of 6)	608	NM_145962	211347	Mm.255044	NM_145962	ENSMUSG00000018846	Pank3	-	pantothenate kinase 3	protein-coding
MACS_peak_2907	chr12	56085353	56088168	+	3100.00	NA	exon (NM_013815, exon 2 of 27)	exon (NM_013815, exon 2 of 27)	563	NM_013815	217578	Mm.479583	NM_013815	ENSMUSG00000035021	Baz1a	Acf1|B930060C03|BC065123|Gtl5|Wcrf180|cbp146	bromodomain adjacent to zinc finger domain 1A	protein-coding
MACS_peak_10110	chr5	52503966	52508074	+	3100.00	NA	Intergenic	CpG	75738	NM_001042620	13204	Mm.993	NM_001042620	ENSMUSG00000029169	Dhx15	DBP1|Ddx15|HRH2|mDEAH9	DEAH (Asp-Glu-Ala-His) box polypeptide 15	protein-coding
MACS_peak_2465	chr11	101412097	101415589	+	3100.00	NA	promoter-TSS (NM_008676)	promoter-TSS (NM_008676)	-125	NM_001252222	17966	Mm.489817	NM_001252220	ENSMUSG00000017119	Nbr1	mKIAA0049	neighbor of Brca1 gene 1	protein-coding
MACS_peak_12239	chr7	117264138	117269323	+	3100.00	NA	intron (NM_009516, intron 1 of 10)	intron (NM_009516, intron 1 of 10)	1157	NM_009516	22390	Mm.287173	NM_009516	ENSMUSG00000031016	Wee1	Wee1A	WEE 1 homolog 1 (S. pombe)	protein-coding
MACS_peak_3943	chr14	21520503	21523129	+	3100.00	NA	promoter-TSS (NM_025366)	promoter-TSS (NM_025366)	-433	NM_025366	66121	Mm.246996	NM_025366	ENSMUSG00000063787	Chchd1	1110001O19Rik|2400010G13Rik	coiled-coil-helix-coiled-coil-helix domain containing 1	protein-coding
MACS_peak_3952	chr14	22569319	22571450	+	3100.00	NA	intron (NM_026283, intron 1 of 5)	intron (NM_026283, intron 1 of 5)	631	NM_026283	67630	Mm.102765	NM_026283	ENSMUSG00000021770	Samd8	1110053F04Rik|1700010P07Rik	sterile alpha motif domain containing 8	protein-coding
MACS_peak_6824	chr19	36907797	36911198	+	3100.00	NA	intron (NM_001163635, intron 1 of 26)	intron (NM_001163635, intron 1 of 26)	775	NM_001163635	74493	Mm.249310	NM_001163635	ENSMUSG00000024811	Tnks2	5430432P15Rik|AA517131|AI662480|ARTD6|TNKS-2|Tank2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	protein-coding
MACS_peak_13261	chr8	129468009	129470368	+	3100.00	NA	intron (NM_024214, intron 1 of 4)	B1F|SINE|Alu	633	NM_024214	67952	Mm.489811	NM_024214	ENSMUSG00000093904	Tomm20	1810060K07Rik|BB284719|Gm19268|MAS20|MOM19|TOM20|mKIAA0016	translocase of outer mitochondrial membrane 20 homolog (yeast)	protein-coding
MACS_peak_6958	chr19	53674317	53676944	+	3100.00	NA	intron (NM_007790, intron 1 of 28)	intron (NM_007790, intron 1 of 28)	744	NM_007790	13006	Mm.14910	NM_007790	ENSMUSG00000024974	Smc3	Bamacan|Cspg6|HCAP|Mmip1|SMC-3|SmcD	structural maintenance of chromosomes 3	protein-coding
MACS_peak_723	chr1	179370841	179374749	+	3100.00	NA	Intergenic	CpG	-1997	NM_001012330	30928	Mm.330700	NM_001012330	ENSMUSG00000063659	Zfp238	RP58|Znf238	zinc finger protein 238	protein-coding
MACS_peak_1422	chr10	105009112	105012773	+	3100.00	NA	promoter-TSS (NR_038032)	promoter-TSS (NR_038032)	593	NM_177368	278279	Mm.25225	NM_177368	ENSMUSG00000036019	Tmtc2	8430438D04Rik|D330034A10Rik	transmembrane and tetratricopeptide repeat containing 2	protein-coding
MACS_peak_13122	chr8	111226914	111229841	+	3100.00	NA	Intergenic	Intergenic	-10167	NM_007496	11906	Mm.477670	NM_007496	ENSMUSG00000038872	Zfhx3	A230102L03Rik|Atbf1|WBP9|mKIAA4228	zinc finger homeobox 3	protein-coding
MACS_peak_2756	chr12	8927999	8930830	+	3100.00	NA	intron (NM_008640, intron 1 of 6)	CpG-2999	1301	NM_008640	17775	Mm.401534	NM_008640	ENSMUSG00000020585	Laptm4a	AA286466|LAPTM4|MTP|Mtrp|mKIAA0108	lysosomal-associated protein transmembrane 4A	protein-coding
MACS_peak_230	chr1	66861972	66865259	+	3100.00	NA	intron (NM_001122738, intron 1 of 14)	CpG	554	NM_177645	68691	Mm.482481	NM_001122738	ENSMUSG00000026004	Kansl1l	1110028C15Rik|1190030G24|AI427598|C430010P07Rik|mKIAA4189	KAT8 regulatory NSL complex subunit 1-like	protein-coding
MACS_peak_14246	chrX	65931011	65933480	+	3100.00	NA	promoter-TSS (NR_033481)	promoter-TSS (NR_033481)	515	NM_008031	14265	Mm.3451	NM_008031	ENSMUSG00000000838	Fmr1	FMRP|Fmr-1	fragile X mental retardation syndrome 1	protein-coding
MACS_peak_2551	chr11	106647218	106651768	+	3100.00	NA	intron (NM_007840, intron 1 of 12)	CpG	315	NM_007840	13207	Mm.220038	NM_007840	ENSMUSG00000020719	Ddx5	2600009A06Rik|G17P1|HUMP68|Hlr1|p68	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	protein-coding
MACS_peak_8253	chr3	32263332	32265552	+	3100.00	NA	promoter-TSS (NR_027966)	promoter-TSS (NR_027966)	31	NR_027966	67576	Mm.435324	NR_027966		4930429B21Rik	-	RIKEN cDNA 4930429B21 gene	miscRNA
MACS_peak_10323	chr5	108329116	108331256	+	3100.00	NA	intron (NM_016980, intron 1 of 7)	intron (NM_016980, intron 1 of 7)	639	NM_016980	100503670	Mm.426204	NM_016980	ENSMUSG00000058558	Rpl5	U21RNA	ribosomal protein L5	protein-coding
MACS_peak_1691	chr11	21138091	21141242	+	3100.00	NA	intron (NM_139061, intron 1 of 22)	CpG	774	NM_139061	245944	Mm.170103	NM_139061	ENSMUSG00000020128	Vps54	5330404P15Rik|Hcc8|Vps54l|mSLP8|wr	vacuolar protein sorting 54 (yeast)	protein-coding
MACS_peak_132	chr1	43154421	43156594	+	3100.00	NA	promoter-TSS (NM_133818)	promoter-TSS (NM_133818)	-40	NM_001013025	73122	Mm.246069	NM_001013025	ENSMUSG00000070939	Tgfbrap1	3110018K12Rik|AU024090|AU042859|AW742551|Trap1	transforming growth factor, beta receptor associated protein 1	protein-coding
MACS_peak_6525	chr18	85119488	85121841	+	3100.00	NA	exon (NM_025969, exon 1 of 6)	exon (NM_025969, exon 1 of 6)	252	NM_025969	67105	Mm.250617	NM_025969	ENSMUSG00000024645	1700034H14Rik	2700002I20Rik|Timm21	RIKEN cDNA 1700034H14 gene	protein-coding
MACS_peak_12102	chr7	91837236	91839241	+	3100.00	NA	promoter-TSS (NR_038175)	promoter-TSS (NR_038175)	88	NR_038175	72495	Mm.382914	NR_038175		2610206C17Rik	-	RIKEN cDNA 2610206C17 gene	miscRNA
MACS_peak_10939	chr6	42214607	42216757	+	3100.00	NA	intron (NM_007610, intron 1 of 10)	intron (NM_007610, intron 1 of 10)	644	NM_007610	12366	Mm.488970	NM_007610	ENSMUSG00000029863	Casp2	Caspase-2|ICH-1|Nedd2	caspase 2	protein-coding
MACS_peak_7922	chr2	153566650	153568995	+	3100.00	NA	intron (NM_007896, intron 1 of 6)	intron (NM_007896, intron 1 of 6)	799	NM_007896	13589	Mm.143877	NM_007896	ENSMUSG00000027479	Mapre1	5530600P05Rik|AI462499|AI504412|AW260097|BIM1p|D2Ertd459e|Eb1	microtubule-associated protein, RP/EB family, member 1	protein-coding
MACS_peak_10360	chr5	110875449	110878515	+	3100.00	NA	exon (NM_001142642, exon 1 of 19)	exon (NM_001142642, exon 1 of 19)	540	NM_001142642	381668	Mm.472278	NM_001142642	ENSMUSG00000043323	Fbrsl1	2410025L10Rik|AI467568|Gm1049|mKIAA1545	fibrosin-like 1	protein-coding
MACS_peak_3075	chr12	86336944	86339197	+	3100.00	NA	exon (NM_178363, exon 1 of 21)	exon (NM_178363, exon 1 of 21)	799	NM_178363	56531	Mm.153183	NM_178363	ENSMUSG00000021244	Ylpm1	A930013E17Rik|ZAP|Zap3	YLP motif containing 1	protein-coding
MACS_peak_2956	chr12	71210911	71213668	+	3100.00	NA	intron (NM_008697, intron 2 of 29)	CpG	623	NM_008697	18080	Mm.244047	NM_001081453	ENSMUSG00000021068	Nin	3110068G20Rik|AI385615|AU024711|mKIAA1565	ninein	protein-coding
MACS_peak_4767	chr15	83179349	83181367	+	3100.00	NA	intron (NM_025445, intron 1 of 15)	intron (NM_025445, intron 1 of 15)	319	NM_025445	66251	Mm.258910	NM_025445	ENSMUSG00000054277	Arfgap3	0610009H19Rik|1810004P07Rik|1810035F16Rik|9130416J18Rik|Arfgap1	ADP-ribosylation factor GTPase activating protein 3	protein-coding
MACS_peak_2377	chr11	97604764	97607013	+	3100.00	NA	TTS (NM_026186)	TTS (NM_026186)	130	NM_054051	108083	Mm.39700	NM_054051	ENSMUSG00000018547	Pip4k2b	AI848124|PI5P4Kbeta|Pip5k2b|c11	phosphatidylinositol-5-phosphate 4-kinase, type II, beta	protein-coding
MACS_peak_3375	chr13	23528587	23530901	+	3100.00	NA	Intergenic	Intergenic	-6858	NR_015492	320842	Mm.487476	NR_015492		C230035I16Rik	-	RIKEN cDNA C230035I16 gene	miscRNA
MACS_peak_6074	chr17	83911898	83914625	+	3100.00	NA	intron (NM_001159529, intron 1 of 3)	intron (NM_001159529, intron 1 of 3)	412	NM_009187	20463	Mm.30072	NM_001159529	ENSMUSG00000024248	Cox7a2l	COX7AR|COX7RP|EB1|SIG-81|SIG81|Silg81	cytochrome c oxidase subunit VIIa polypeptide 2-like	protein-coding
MACS_peak_2204	chr11	79996731	79998477	+	3100.00	NA	exon (NM_028019, exon 1 of 5)	exon (NM_028019, exon 1 of 5)	230	NM_028019	71956	Mm.22985	NM_028019	ENSMUSG00000020707	Rnf135	0610037N03Rik|2410006N06Rik	ring finger protein 135	protein-coding
MACS_peak_5904	chr17	47730040	47733156	+	3100.00	NA	intron (NM_007632, intron 1 of 4)	intron (NM_007632, intron 1 of 4)	1182	NM_007632	12445	Mm.27291	NM_001081635	ENSMUSG00000034165	Ccnd3	9230106B05Rik|AA682053|AL024085|AW146355|C78795	cyclin D3	protein-coding
MACS_peak_9121	chr4	49608916	49611439	+	3100.00	NA	intron (NM_025944, intron 1 of 1)	CpG	565	NM_025944	67063	Mm.490285	NM_025944	ENSMUSG00000039611	Tmem246	2810432L12Rik|9330170P15Rik|AI835809	transmembrane protein 246	protein-coding
MACS_peak_11411	chr6	128709739	128711567	+	3100.00	NA	Intergenic	Intergenic	28006	NM_008527	17059	Mm.480764	XM_003946192	ENSMUSG00000030325	Klrb1c	AI462337|CD161|Ly-59|Ly55c|Ly59|NK-RP1|NK1.1|NKR-P1.9|NKRP1|NKRP140|Nk-1|Nk-1.2|Nk1|Nk1.2|Nkrp1c|ly-55c	killer cell lectin-like receptor subfamily B member 1C	protein-coding
MACS_peak_9216	chr4	84529829	84531540	+	3100.00	NA	exon (NM_177385, exon 1 of 5)	exon (NM_177385, exon 1 of 5)	453	NM_177385	338349	Mm.440562	NM_175275	ENSMUSG00000038070	Cntln	AI448092|B430108F07Rik|D530005L17Rik	centlein, centrosomal protein	protein-coding
MACS_peak_12128	chr7	104229427	104231977	+	3100.00	NA	intron (NM_010248, intron 1 of 9)	CpG	441	NM_010248	14389	Mm.42033	NM_001162477	ENSMUSG00000004508	Gab2	AI463667|D130058I17Rik|p97	growth factor receptor bound protein 2-associated protein 2	protein-coding
MACS_peak_7251	chr2	32389919	32393566	+	3100.00	NA	exon (NM_153560, exon 1 of 11)	exon (NM_153560, exon 1 of 11)	863	NM_153560	98952	Mm.4065	NM_153560	ENSMUSG00000039157	Fam102a	AI426465|C230093N12Rik|Eeig1	family with sequence similarity 102, member A	protein-coding
MACS_peak_8152	chr2	180323388	180325578	+	3100.00	NA	intron (NM_031373, intron 1 of 6)	CpG	371	NM_031373	72075	Mm.250418	NM_031373	ENSMUSG00000049401	Ogfr	2010013E17Rik	opioid growth factor receptor	protein-coding
MACS_peak_12665	chr8	35868842	35873643	+	3100.00	NA	intron (NM_176933, intron 1 of 3)	CpG-13954	578	NM_176933	319520	Mm.392187	NM_176933	ENSMUSG00000031530	Dusp4	2700078F24Rik|AI844617|BB104621|E130306H24Rik|MKP2	dual specificity phosphatase 4	protein-coding
MACS_peak_1380	chr10	92915172	92919014	+	3100.00	NA	intron (NM_008517, intron 1 of 18)	intron (NM_008517, intron 1 of 18)	952	NM_008517	16993	Mm.271071	NM_008517	ENSMUSG00000015889	Lta4h	-	leukotriene A4 hydrolase	protein-coding
MACS_peak_11056	chr6	66845736	66847966	+	3100.00	NA	promoter-TSS (NM_001177558)	promoter-TSS (NM_001177558)	-34	NM_001177558	14701	Mm.234342	NM_001177556	ENSMUSG00000036402	Gng12	2010305F15Rik|AA536815|AI115529|AI314170|AI842738	guanine nucleotide binding protein (G protein), gamma 12	protein-coding
MACS_peak_7143	chr2	26170463	26172405	+	3100.00	NA	intron (NM_001199146, intron 1 of 12)	intron (NM_001199146, intron 1 of 12)	381	NM_153410	67839	Mm.266611	NM_001199146	ENSMUSG00000026930	Gpsm1	1810037C22Rik|AW107933|Ags3	G-protein signalling modulator 1 (AGS3-like, C. elegans)	protein-coding
MACS_peak_1953	chr11	61306350	61308892	+	3100.00	NA	promoter-TSS (NM_011841)	promoter-TSS (NM_011841)	84	NM_011841	23939	Mm.38172	NM_011841	ENSMUSG00000001034	Mapk7	BMK1|ERK5|Erk5-T|PRKM7	mitogen-activated protein kinase 7	protein-coding
MACS_peak_281	chr1	75214395	75216728	+	3100.00	NA	intron (NM_009447, intron 1 of 3)	intron (NM_009447, intron 1 of 3)	267	NM_009447	22145	Mm.1155	NM_009447	ENSMUSG00000026202	Tuba4a	M[a]4|Tuba4	tubulin, alpha 4A	protein-coding
MACS_peak_1998	chr11	68504278	68508044	+	3100.00	NA	intron (NM_175260, intron 1 of 40)	intron (NM_175260, intron 1 of 40)	744	NM_175260	77579	Mm.218233	NM_175260	ENSMUSG00000020900	Myh10	5730504C04Rik|9330167F11Rik|Fltn|Myhn-2|Myhn2|NMHC II-B|NMHC-B|NMHCII-B|NMMHC II-b|NMMHC-B|NMMHC-IIB|SMemb|mKIAA3005	myosin, heavy polypeptide 10, non-muscle	protein-coding
MACS_peak_11811	chr7	31933970	31936784	+	3100.00	NA	intron (NM_027898, intron 1 of 18)	intron (NM_027898, intron 1 of 18)	692	NM_027898	52857	Mm.27366	NM_027898	ENSMUSG00000001248	Gramd1a	1300003M23Rik|AI415002|AW547240|D7Bwg0611e	GRAM domain containing 1A	protein-coding
MACS_peak_7927	chr2	154261867	154263546	+	3100.00	NA	intron (NM_172860, intron 1 of 10)	CpG-8719	486	NM_009823	12396	Mm.29914	NM_009823	ENSMUSG00000038533	Cbfa2t2	A430091M07|C330013D05Rik|Cbfa2t2h|MTGR1	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)	protein-coding
MACS_peak_690	chr1	173258134	173261112	+	3100.00	NA	5' UTR (NM_011615, exon 1 of 5)	5' UTR (NM_011615, exon 1 of 5)	347	NM_011615	21945	Mm.270139	NM_001128609	ENSMUSG00000013973	Dedd	CASP8IP1|DEFT|Dedpro1|FLDED1|KE05	death effector domain-containing	protein-coding
MACS_peak_5642	chr17	26389230	26391670	+	3100.00	NA	intron (NM_025881, intron 1 of 8)	CpG	595	NR_037905	66978	Mm.440216	NM_025881	ENSMUSG00000024188	Luc7l	1810045C04Rik|2410018D03Rik	Luc7 homolog (S. cerevisiae)-like	protein-coding
MACS_peak_14014	chr9	119229883	119233012	+	3100.00	NA	promoter-TSS (NM_133985)	promoter-TSS (NM_133985)	98	NR_045693	108737	Mm.293565	NM_133985	ENSMUSG00000036737	Oxsr1	2210022N24Rik|2810422B09Rik|AI462649|AW209236|Osr1|mKIAA1101	oxidative-stress responsive 1	protein-coding
MACS_peak_9896	chr5	8055625	8058728	+	3100.00	NA	intron (NM_001080974, intron 1 of 7)	intron (NM_001080974, intron 1 of 7)	634	NM_001080974	109552	Mm.96211	NM_001080974	ENSMUSG00000003161	Sri	2210417O06Rik|2900070H08Rik|Sor	sorcin	protein-coding
MACS_peak_7458	chr2	76207632	76209689	+	3100.00	NA	intron (NM_153405, intron 1 of 9)	intron (NM_153405, intron 1 of 9)	619	NM_153405	241490	Mm.33310	NM_178090	ENSMUSG00000042369	Rbm45	Drb1|Drbp1|G430095G15Rik	RNA binding motif protein 45	protein-coding
MACS_peak_10548	chr5	130230151	130233335	+	3100.00	NA	intron (NM_008095, intron 1 of 9)	B3|SINE|B2	793	NM_008095	14467	Mm.12468	NM_008095	ENSMUSG00000029432	Gbas	AV006093|Nipsnap2	glioblastoma amplified sequence	protein-coding
MACS_peak_11191	chr6	90319109	90321917	+	3100.00	NA	exon (NM_030260, exon 1 of 6)	exon (NM_030260, exon 1 of 6)	1025	NM_030260	80292	Mm.473652	NM_030260	ENSMUSG00000034430	Zxdc	A930012H20|B930086F11Rik|BC003332	ZXD family zinc finger C	protein-coding
MACS_peak_6008	chr17	69505483	69507733	+	3100.00	NA	intron (NM_013813, intron 1 of 21)	CpG	458	NM_013813	13823	Mm.131135	NM_013813	ENSMUSG00000024044	Epb4.1l3	4.1B|DAL1P|Dal1|Epb41l3|NBL3	erythrocyte protein band 4.1-like 3	protein-coding
MACS_peak_8719	chr3	115709094	115712047	+	3100.00	NA	promoter-TSS (NM_023214)	promoter-TSS (NM_023214)	203	NM_001163515	58193	Mm.41739	NM_001163514	ENSMUSG00000027963	Extl2	3000001D04Rik|AW146439	exostoses (multiple)-like 2	protein-coding
MACS_peak_8712	chr3	109142703	109145457	+	3100.00	NA	exon (NM_020505, exon 1 of 27)	exon (NM_020505, exon 1 of 27)	479	NM_020505	57257	Mm.282257	NM_020505	ENSMUSG00000033721	Vav3	A530094I06Rik|AA986410|Idd18.1	vav 3 oncogene	protein-coding
MACS_peak_13129	chr8	112260219	112262172	+	3100.00	NA	intron (NM_001080930, intron 1 of 3)	CpG	444	NM_001080930	52335	Mm.276770	NM_001080930	ENSMUSG00000069895	Atxn1l	AW558552|Boat|C330011L24Rik|D6Mgi37|D8Ertd587e|ENSMUSG00000069895	ataxin 1-like	protein-coding
MACS_peak_8675	chr3	106349463	106352889	+	3100.00	NA	promoter-TSS (NM_133869)	promoter-TSS (NM_133869)	431	NM_001025582	67171	Mm.290488	NM_001025582	ENSMUSG00000027900	Dram2	2010305N14Rik|2610318G18Rik|AI647667|Tmem77	DNA-damage regulated autophagy modulator 2	protein-coding
MACS_peak_5175	chr16	31946721	31949826	+	3100.00	NA	promoter-TSS (NM_026554)	promoter-TSS (NM_026554)	334	NR_027897	106264	Mm.347369	NM_025320		0610012G03Rik	AI839730	RIKEN cDNA 0610012G03 gene	miscRNA
MACS_peak_11590	chr7	16631331	16635130	+	3100.00	NA	Intergenic	CpG	-24061	NM_001099277	666528	Mm.290718	NM_001099277	ENSMUSG00000078796	Zfp541	EG666528|Znf541	zinc finger protein 541	protein-coding
MACS_peak_10734	chr5	147041930	147045117	+	3100.00	NA	intron (NM_153599, intron 1 of 12)	intron (NM_153599, intron 1 of 12)	272	NM_153599	264064	Mm.260576	NM_181570	ENSMUSG00000029635	Cdk8	-	cyclin-dependent kinase 8	protein-coding
MACS_peak_2570	chr11	109332775	109335760	+	3100.00	NA	promoter-TSS (NM_028710)	promoter-TSS (NM_028710)	276	NM_134038	104681	Mm.265874	NM_001029842	ENSMUSG00000041920	Slc16a6	AW743111|ESTM12|MCT 6|MCT 7|MCT6	solute carrier family 16 (monocarboxylic acid transporters), member 6	protein-coding
MACS_peak_5630	chr17	26055328	26058154	+	3100.00	NA	promoter-TSS (NM_139154)	promoter-TSS (NM_139154)	-82	NM_139154	224624	Mm.328872	NM_139154	ENSMUSG00000025730	Rab40c	RAR3	Rab40c, member RAS oncogene family	protein-coding
MACS_peak_7109	chr2	24772881	24775997	+	3100.00	NA	intron (NM_001012518, intron 1 of 26)	CpG	671	NM_172545	77683	Mm.24176	NM_001012518	ENSMUSG00000036893	Ehmt1	9230102N17Rik|D330003E03|Eu-HMTase1|GLP|GLP1|KMT1D|mKIAA1876	euchromatic histone methyltransferase 1	protein-coding
MACS_peak_10733	chr5	147031760	147033779	+	3100.00	NA	promoter-TSS (NM_001256086)	promoter-TSS (NM_001256086)	-222	NM_001256085	74132	Mm.26696	NM_001256085	ENSMUSG00000029634	Rnf6	1200013I08Rik|5730419H05Rik|AA537053	ring finger protein (C3H2C3 type) 6	protein-coding
MACS_peak_4863	chr15	97595755	97599249	+	3100.00	NA	intron (NM_001177811, intron 1 of 26)	intron (NM_001177811, intron 1 of 26)	595	NM_001177810	223864	Mm.24028	NM_001177810	ENSMUSG00000022469	Rapgef3	2310016P22Rik|9330170P05Rik|Epac|Epac1	Rap guanine nucleotide exchange factor (GEF) 3	protein-coding
MACS_peak_10977	chr6	49023118	49025161	+	3100.00	NA	intron (NM_029353, intron 1 of 3)	CpG	345	NM_029353	75593	Mm.439947	NM_029353	ENSMUSG00000029815	2410003K15Rik	Malsu1	RIKEN cDNA 2410003K15 gene	protein-coding
MACS_peak_2633	chr11	116350217	116352558	+	3100.00	NA	exon (NM_026364, exon 1 of 10)	exon (NM_026364, exon 1 of 10)	273	NM_026364	67763	Mm.25125	NM_026364	ENSMUSG00000015869	Prpsap1	5730409F23Rik|PAP39	phosphoribosyl pyrophosphate synthetase-associated protein 1	protein-coding
MACS_peak_13956	chr9	109777655	109780061	+	3100.00	NA	intron (NM_007658, intron 1 of 14)	CpG-15430	775	NM_007658	12530	Mm.307103	NM_007658	ENSMUSG00000032477	Cdc25a	D9Ertd393e	cell division cycle 25A	protein-coding
MACS_peak_12814	chr8	73050798	73052759	+	3100.00	NA	promoter-TSS (NM_001199631)	promoter-TSS (NM_001199631)	33	NM_001199631	14232	Mm.482129	NM_001111066	ENSMUSG00000019428	Fkbp8	38kDa|FKBP-38|FKBP-8|Fkbp38	FK506 binding protein 8	protein-coding
MACS_peak_13243	chr8	127244844	127247035	+	3100.00	NA	promoter-TSS (NM_145607)	promoter-TSS (NM_145607)	-64	NM_145607	234875	Mm.38436	NM_145607	ENSMUSG00000037300	Ttc13	BC017545	tetratricopeptide repeat domain 13	protein-coding
